"year"	"age1"	"age2"	"age3"	"age4"	"age5"	"age6"
1991	11.158	6.038	2.872	0.477	0.266	0.258
1992	69.518	9.894	1.442	0.557	0.277	0.118
1993	18.823	12.987	1.76	0.23	0.214	0.1
1994	113.813	12.382	4.188	0.638	0.179	0.263
1995	77.622	24.075	2.746	1.538	0.196	0.152
1996	46.503	9.514	3.39	0.71	0.365	0.08
1997	132.969	18.117	4.373	1.689	0.31	0.238
1998	10.577	27.587	3.076	1.044	0.631	0.3
1999	40.668	2.372	5.123	0.865	0.198	0.106
2000	12.329	4.517	0.341	1.316	0.214	0.295
2001	21.405	12.121	2.077	0.437	0.447	0.523
2002	93.643	7.21	3.162	1.17	0.259	0.162
2003	4.397	4.358	1.163	1.081	1.021	1.301
2004	87.47	3.908	2.111	0.379	0.308	0.07
2005	17.935	6.455	1.371	0.63	0.166	0.347
2006	64.57	3.859	4.062	0.558	0.115	0.299
2007	40.05	17.575	3.081	1.158	0.462	0.345
2008	25.887	8.841	6.832	0.973	0.533	0.239
2009	36.962	4.876	1.257	1.161	0.296	0.375
2010	19.178	6.803	2.041	0.77	0.571	0.194
2011	9.895	11.978	3.893	1.507	0.463	0.655
2012	34.539	9.307	11.504	2.552	0.65	0.343
2013	17.797	13.078	3.487	2.719	0.627	0.537
2014	25.766	13.445	6.387	2.036	1.111	0.922
