"year"	"age1"	"age2"	"age3"	"age4"	"age5"	"age6"
1991	22.988	12.81	4.202	0.889	0.667	0.37
1992	151.891	23.878	2.247	0.25	0.404	0
1993	43.685	11.072	1.946	0.138	0.138	0.069
1994	250.005	25.228	1.563	0.437	0.207	0.138
1995	194.514	8.798	1.86	0.138	0.138	0
1996	119.113	6.746	0.754	0	0.071	0.143
1997	336.034	37.238	5.089	0.92	0.222	0.148
1998	27.769	31.646	4.778	0.979	0.25	0.077
1999	115.476	5.443	1.954	1.126	0	0.069
2000	54.379	15.621	0	0	0	0
2001	72.788	6.98	1.266	0.414	0.138	0.138
2002	353.888	19.795	2.103	0.594	0.3	0.367
2003	11.893	10.838	1.555	0.143	0	0.214
2004	255.675	5.543	4.647	0.348	0.143	0.143
2005	58.296	13.058	1.288	0.782	0.138	0.069
2006	176.349	7.064	9.733	0.792	0.357	0.429
2007	120.912	26.505	5.903	2.143	0.315	0.37
2008	52.981	17.549	11.023	1.446	0.452	0
2009	90.786	4.327	1.458	0.286	0.143	0
2010	49.022	6.745	1.195	0.231	0.077	0.077
2011	26.456	14.639	3.23	1.319	0.493	0.592
2012	94.577	22.942	25.637	2.824	0.357	0
2013	49.434	35.962	6.943	1.782	0.345	0.121
2014	74.686	32.021	14.967	3.489	0.629	0
